Date,Close,change
"May 02, 2018",0.859094,0.017687
"May 01, 2018",0.841407,0.003469
"Apr 30, 2018",0.837938,-0.034840
"Apr 29, 2018",0.872778,0.008974
"Apr 28, 2018",0.863804,0.049919
"Apr 27, 2018",0.813885,-0.038529
"Apr 26, 2018",0.852414,0.051807
"Apr 25, 2018",0.800607,-0.134174
"Apr 24, 2018",0.934781,0.058124
"Apr 23, 2018",0.876657,0.006662
"Apr 22, 2018",0.869995,-0.003108
"Apr 21, 2018",0.873103,-0.051362
"Apr 20, 2018",0.924465,0.132489
"Apr 19, 2018",0.791976,0.083044
"Apr 18, 2018",0.708932,0.051999
"Apr 17, 2018",0.656933,-0.006364
"Apr 16, 2018",0.663297,-0.019237
"Apr 15, 2018",0.682534,0.050350
"Apr 14, 2018",0.632184,-0.005903
"Apr 13, 2018",0.638087,0.009350
"Apr 12, 2018",0.628737,0.089231
"Apr 11, 2018",0.539506,0.047575
"Apr 10, 2018",0.491931,0.000076
"Apr 09, 2018",0.491855,-0.008543
"Apr 08, 2018",0.500398,0.012531
"Apr 07, 2018",0.487867,0.011436
"Apr 06, 2018",0.476431,-0.019370
"Apr 05, 2018",0.495801,-0.005830
"Apr 04, 2018",0.501631,-0.056413
"Apr 03, 2018",0.558044,0.057356
"Apr 02, 2018",0.500688,0.015607
"Apr 01, 2018",0.485081,-0.027272
"Mar 31, 2018",0.512353,0.002788
"Mar 30, 2018",0.509565,-0.001946
"Mar 29, 2018",0.511511,-0.066491
"Mar 28, 2018",0.578002,0.000085
"Mar 27, 2018",0.577917,-0.021546
"Mar 26, 2018",0.599463,-0.042412
"Mar 25, 2018",0.641875,0.000610
"Mar 24, 2018",0.641265,-0.001909
"Mar 23, 2018",0.643174,-0.019569
"Mar 22, 2018",0.662743,-0.030921
"Mar 21, 2018",0.693664,-0.016144
"Mar 20, 2018",0.709808,-0.039272
"Mar 19, 2018",0.74908,0.090303
"Mar 18, 2018",0.658777,0.020921
"Mar 17, 2018",0.637856,-0.051404
"Mar 16, 2018",0.68926,-0.008009
"Mar 15, 2018",0.697269,-0.004633
"Mar 14, 2018",0.701902,-0.087809
"Mar 13, 2018",0.789711,-0.011337
"Mar 12, 2018",0.801048,-0.030074
"Mar 11, 2018",0.831122,0.034495
"Mar 10, 2018",0.796627,-0.053134
"Mar 09, 2018",0.849761,0.023904
"Mar 08, 2018",0.825857,-0.045353
"Mar 07, 2018",0.87121,-0.051677
"Mar 06, 2018",0.922887,-0.036481
"Mar 05, 2018",0.959368,-0.050632
"Mar 04, 2018",1.01,0.102196
"Mar 03, 2018",0.907804,-0.002340
"Mar 02, 2018",0.910144,-0.018203
"Mar 01, 2018",0.928347,0.023764
"Feb 28, 2018",0.904583,-0.042722
"Feb 27, 2018",0.947305,-0.009554
"Feb 26, 2018",0.956859,0.013372
"Feb 25, 2018",0.943487,-0.010915
"Feb 24, 2018",0.954402,-0.044453
"Feb 23, 2018",0.998855,0.057067
"Feb 22, 2018",0.941788,-0.078212
"Feb 21, 2018",1.02,-0.070000
"Feb 20, 2018",1.09,-0.050000
"Feb 19, 2018",1.14,0.020000
"Feb 18, 2018",1.12,-0.080000
"Feb 17, 2018",1.2,0.060000
"Feb 16, 2018",1.14,-0.010000
"Feb 15, 2018",1.15,0.010000
"Feb 14, 2018",1.14,0.110000
"Feb 13, 2018",1.03,-0.050000
"Feb 12, 2018",1.08,0.080000
"Feb 11, 2018",1,-0.070000
"Feb 10, 2018",1.07,0.115572
"Feb 09, 2018",0.954428,0.149165
"Feb 08, 2018",0.805263,0.081368
"Feb 07, 2018",0.723895,-0.052498
"Feb 06, 2018",0.776393,0.084594
"Feb 05, 2018",0.691799,-0.123904
"Feb 04, 2018",0.815703,-0.108340
"Feb 03, 2018",0.924043,0.000000
